source_id,source_category
1,
2,
3,Industrie
4,Industrie
5,Industrie
6,AVI
7,
8,
9,
10,
11,AVI
12,Industrie
13,Industrie
14,STEG
15,STEG
16,Industrie
17,Industrie
18,Industrie
19,
20,STEG
21,BMC
22,BMC
23,BMC
24,BioWKK
25,BMC
26,Industrie
27,
28,
29,
30,
31,Industrie
32,
33,Kolen
34,
35,
36,
37,
38,AVI
39,Industrie
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,STEG
53,
54,Industrie
55,Industrie
56,Industrie
57,AVI
58,
59,
60,Industrie
61,
62,Industrie
63,Industrie
64,
65,
66,
67,Industrie
68,Industrie
69,STEG
70,
71,
72,Industrie
73,Industrie
74,
75,Industrie
76,
77,Industrie
78,Kern
79,Industrie
80,Industrie
81,Industrie
82,Industrie
83,Industrie
84,Raffinaderij
85,Raffinaderij
86,Industrie
87,
88,Industrie
89,Industrie
90,Industrie
91,Industrie
92,AVI
93,Industrie
94,Industrie
95,Industrie
96,Industrie
97,Industrie
98,Industrie
99,Industrie
100,Industrie
101,Industrie
102,STEG
103,Industrie
104,Industrie
105,Industrie
106,Industrie
107,
108,
109,Gasturbine
110,
111,Industrie
112,Industrie
113,
114,
115,
116,
117,AVI
118,
119,Industrie
120,
121,Industrie
122,
123,Industrie
124,
125,
126,
127,
128,STEG
129,Industrie
130,Industrie
131,Industrie
132,
133,
134,
135,
136,STEG
137,Industrie
138,Industrie
139,Industrie
140,STEG
141,Industrie
142,
143,
144,
145,
146,
147,
148,Industrie
149,AVI
150,AVI
151,AVI
152,Industrie
153,Industrie
154,Industrie
155,
156,
157,AVI
158,
159,
160,Industrie
161,
162,
163,Industrie
164,STEG
165,Kolen
166,STEG
167,
168,
169,
170,
171,Industrie
172,
173,Industrie
174,
175,Industrie
176,Industrie
177,BioWKK
178,Industrie
179,
180,Industrie
181,
182,Industrie
183,
184,
185,
186,
187,Industrie
188,Industrie
189,Gasturbine
190,
191,
192,Industrie
193,
194,
195,
196,
197,
198,Industrie
199,Raffinaderij
200,Industrie
201,Industrie
202,Industrie
203,Industrie
204,Raffinaderij
205,Industrie
206,Raffinaderij
207,Industrie
208,STEG
209,
210,STEG
211,
212,BMC
213,
214,
215,
216,
217,Raffinaderij
218,
219,Industrie
220,
221,Industrie
222,
223,
224,Industrie
225,Gasturbine
226,
227,Industrie
228,
229,Industrie
230,
231,
232,Industrie
233,Industrie
234,Industrie
235,Industrie
236,Industrie
237,Industrie
238,Industrie
239,
240,
241,Industrie
242,Industrie
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,Industrie
261,Industrie
262,AVI
263,
264,Industrie
265,
266,
267,
268,Industrie
269,Industrie
270,Industrie
271,Industrie
272,STEG
273,Industrie
274,
275,
276,Industrie
277,
278,
279,
280,Gasmotor
281,
282,
283,
284,
285,Industrie
286,BMC
287,
288,
289,
290,
291,
292,
293,Industrie
294,Industrie
295,
296,
297,
298,
299,
300,
301,
302,
303,Industrie
304,
305,Industrie
306,
307,BioWKK
308,
309,STEG
310,Industrie
311,BMC
312,BMC
313,BMC
314,STEG
315,Industrie
316,Industrie
317,
318,
319,Industrie
320,Industrie
321,Industrie
322,
323,
324,Industrie
325,
326,Industrie
327,Industrie
328,Industrie
329,Industrie
330,Industrie
331,STEG
332,Industrie
333,Raffinaderij
334,Kolen
335,Industrie
336,Industrie
337,Industrie
338,
339,Industrie
340,Industrie
341,
342,
343,AVI
344,
345,
346,
347,BMC
348,
349,
350,Industrie
351,STEG
352,
353,
354,
