fid,source_name,available_heat,source_id,geo_coordinate_x,geo_coordinate_y,neighbourhoods_in_range
1,"Bardeen Datahotel, Groningen",0,LTLP0001,235082.0087,580965.9738,"BU012,BU013,BU014"
2,"KPN GN2, Groningen",0,LTLP0002,231560.3621,580589.3105,"BU011,BU012,BU013"
3,"KPN HD, Groningen",0,LTLP0003,233354.5101,579429.7496,"BU010,BU011,BU012"
4,"Rekenhal - Zernikeborg, Groningen",0,LTLP0004,231687.6912,584103.2279,"BU009,BU010,BU011"
5,"Tele2 (POP), Groningen, Groningen",0,LTLP0005,236733.6423,582172.8578,"BU008,BU009,BU010"
6,"Datacenter Groningen B.V., Zuidbroek",0,LTLP0006,253798.9842,576382.0073,"BU007,BU008,BU009"
7,Bytesnet - Groningen,0,LTLP0007,231412.8082,583313.6345,"BU006,BU007,BU008"
8,NLDC - Groningen,0,LTLP0008,227614.7632,580665.7535,"BU005,BU006,BU007"
9,TCN Data Hotels - Groningen,0,LTLP0009,231192.6232,584995.3665,"BU004,BU005,BU006"
10,Google,0,LTLP0010,252819.0002,605225.0005,"BU003,BU004,BU005"
11,TCN Data Hotels - Eemshaven,0,LTLP0011,252821.4862,606619.6585,"BU002,BU003,BU004"
12,RWZI Garmerwolde,0,LTLP0012,240593.7722,585222.8315,"BU001,BU002,BU003"
13,RWZI Eelde,0,LTLP0013,236484.0002,572007.0005,"BU012,BU013,BU014"
14,RWZI Zuidhorn,0,LTLP0014,222036.8942,585581.6165,"BU011,BU012,BU013"
15,RWZI Hoogkerk,0,LTLP0015,229627.4812,581074.6475,"BU010,BU011,BU012"
16,RWZI Feerwerd,0,LTLP0016,227925.8512,590163.1255,"BU009,BU010,BU011"
17,RWZI Onderdendam,0,LTLP0017,235353.3702,594015.1845,"BU008,BU009,BU010"
18,RWZI Uithuizen,0,LTLP0018,240674.0472,602153.1035,"BU007,BU008,BU009"
19,RWZI Delfzijl,0,LTLP0019,259304.0002,592347.0005,"BU006,BU007,BU008"
20,RWZI Uithuizermeeden,0,LTLP0020,244833.0832,603278.4455,"BU005,BU006,BU007"
21,RWZI Winsum,0,LTLP0021,229484.6122,594732.3635,"BU004,BU005,BU006"
22,RWZI Wehe Den Hoorn,0,LTLP0022,223090.3332,598531.0005,"BU003,BU004,BU005"
23,RWZI Ulrum,0,LTLP0023,218031.164,596456.8668,"BU002,BU003,BU004"
24,RWZI Gaarkeuken *,0,LTLP0024,217557.0002,585201.0005,"BU001,BU002,BU003"
25,RWZI Marum*,0,LTLP0025,213927.0002,574580.0005,"BU012,BU013,BU014"
26,RWZI Leek*,0,LTLP0026,220625.1102,574416.5505,"BU011,BU012,BU013"
27,RWZI Foxhol,0,LTLP0027,243440.8742,576282.8975,"BU010,BU011,BU012"
28,RWZI Hoogezand,0,LTLP0028,247723.3572,576893.0835,"BU009,BU010,BU011"
29,RWZI Veendam,0,LTLP0029,256688.0792,570532.1705,"BU008,BU009,BU010"
30,RWZI Oude Pekela,0,LTLP0030,264696.0002,571141.0005,"BU007,BU008,BU009"
31,RWZI Scheemda,0,LTLP0031,263359.0002,576533.0005,"BU006,BU007,BU008"
32,RWZI Bellingwolde,0,LTLP0032,274510.5022,572900.8375,"BU005,BU006,BU007"
33,RWZI Scheve Klap,0,LTLP0033,263299.9462,587754.3205,"BU004,BU005,BU006"
34,RWZI Ter Apel,0,LTLP0034,273960.0002,558670.0005,"BU003,BU004,BU005"
35,RWZI Stadskanaal,0,LTLP0035,260316.7032,559500.6255,"BU002,BU003,BU004"
36,RWZI Vriescheloo,0,LTLP0036,271675.1022,565399.2045,"BU001,BU002,BU003"
