neighbourhood_code,heat_source_code,heat_source_name,distance_in_m
BU03070401,LTHP03,First Master Food Manufactory BV,2351.9359589567316
BU03070306,LTHP03,First Master Food Manufactory BV,2129.6459712904602
BU03071501,HTHP0007,biomassaketel_deHoef,3650.0944489234844
BU03070104,HTHP0007,biomassaketel_deHoef,2552.3588253140983
BU03070303,HTHP0007,biomassaketel_deHoef,3946.5898837659797
BU03070204,HTHP0007,biomassaketel_deHoef,3478.9100113738627
BU03070501,HTHP0008,biomassaketel_deIsselt,3072.904117642137
BU03071700,HTHP0007,biomassaketel_deHoef,3820.9526545347208
BU03071101,LTHP02,Tele2  POP   Amersfoort  Amersfoort,832.7670575573823
BU03070100,HTHP0007,biomassaketel_deHoef,2802.382344570979
BU03070304,HTHP0008,biomassaketel_deIsselt,1344.147503470951
BU03070107,HTHP0008,biomassaketel_deIsselt,3051.3936789725803
BU03070300,LTHP03,First Master Food Manufactory BV,1533.9503223656568
BU03071706,HTHP0008,biomassaketel_deIsselt,3860.9539910108083
BU03070502,HTHP0008,biomassaketel_deIsselt,4753.457506229665
BU03072503,HTHP0007,biomassaketel_deHoef,1396.7838249279205
BU03070108,HTHP0007,biomassaketel_deHoef,2648.4664609575825
BU03071003,HTHP0007,biomassaketel_deHoef,1587.7071890760844
BU03070305,LTHP03,First Master Food Manufactory BV,451.65537274086773
BU03070402,LTHP01,RWZI   Amersfoort,1881.5455356810164
BU03070301,LTHP03,First Master Food Manufactory BV,956.806071405844
BU03070500,LTHP03,First Master Food Manufactory BV,1117.4227241097785
BU03072500,LTHP02,Tele2  POP   Amersfoort  Amersfoort,717.809235107117
BU03070403,LTHP01,RWZI   Amersfoort,1110.5232796108485
