neighbourhood,type,E,H,geothermal,HT,MT,LT,backup,undecided,useful_heat,heat_reduction
total,residences,927558.6388193071,389553.2196448574,0.0,243481.76171735406,0.0,160811.1784879551,170803.5993367575,0.0,2322442.1110288016,384661.5872362289
total,utility,612431.7044706019,35045.3718122319,0.0,288742.56774685165,0.0,204291.57782164344,212145.24734394866,656.757787,921728.4963373452,236295.46865227498
BU03072006,residences,0.0,,,,,,,0.0,0.0,0.0
BU03072006,utility,0.0,,,,,,,656.757787,656.757787,0.0
BU03073104,residences,0.0,,,,,,,0.0,0.0,0.0
BU03073104,utility,0.0,,,,,,,0.0,0.0,0.0
BU03072505,residences,0.0,,,,,,,,0.0,0.0
BU03072505,utility,213.88320782933724,,,,,,,,802.0620293600147,300.31922121998525
BU03072506,residences,0.0,,,,,,,,0.0,0.0
BU03072506,utility,1376.8563824486703,,,,,,,,5163.211434182514,927.4863403954865
BU03072507,residences,0.0,,,,,,,,0.0,0.0
BU03072507,utility,5058.534301668797,,,,,,,,18969.503631257987,4730.0612937090145
BU03072805,residences,0.0,,,,,,,,0.0,0.0
BU03072805,utility,479.7867995606652,,,,,,,,1799.2004983524946,334.27816914950563
BU03073100,residences,0.0,,,,,,,,0.0,0.0
BU03073100,utility,304.23155397615227,,,,,,,,1140.868327410571,408.2957166794289
BU03070401,residences,350.83799999999997,,,,,1583.16587667,1117.52885412,,1583.1658766700002,0.0
BU03070401,utility,350.837984292,,,,,24022.979781860002,16957.397493077646,,24022.979781860002,0.0
BU03070307,residences,1738.9188765831643,,,,,,,,3233.864537186866,288.991703593134
BU03070307,utility,2474.078790815635,,,,,,,,5990.71420543363,1961.7983166163704
BU03072709,residences,343.78290238977155,,,,,,,,628.2258839616434,270.80729139835654
BU03072709,utility,6263.041000345344,,,,,,,,22825.443855143792,7869.641218141203
BU03071603,residences,136.0291771776659,225.2638324284613,,,,,,,395.762051949462,37.98202387053802
BU03071603,utility,192.3179041589873,480.89402789408524,,,,,,,844.8742312419201,531.57791478208
BU03072502,residences,181.97037709867044,,,,,,,,328.82391412001414,144.3514413199858
BU03072502,utility,3154.250545481813,,,,,,,,11474.874584445235,3073.259993531764
BU03073001,residences,12184.641066902703,,,,,,,,20548.383990985134,1803.5638773748683
BU03073001,utility,7083.974894966215,,,,,,,,1420.885855369558,485.9361339424422
BU03073000,residences,9452.718981764854,,,,,,,,16240.571182293204,1283.0275514667956
BU03073000,utility,0.0,,,,,,,,0.0,0.0
BU03072901,residences,2540.617759521055,,,,,,,,5063.811598218019,568.0793977819816
BU03072901,utility,3561.356430669954,,,,,,,,8891.581650989827,1491.2492800951727
BU03073108,residences,453.594632570823,771.9325664515901,,,,,,,1344.212493916141,122.63110792385896
BU03073108,utility,285.12,0.0,,,,,,,0.0,0.0
BU03071707,residences,688.6269707896538,1285.6957925073305,,,,,,,2314.2524265131947,237.6085532868057
BU03071707,utility,449.64130088459825,226.36214814094998,,,,,,,407.45186665371,248.67775690629
BU03073103,residences,15497.734979024346,,,,,,,,34528.19242149317,4337.7554474268245
BU03073103,utility,6757.695009690111,,,,,,,,1753.0425423060356,660.0597190339646
BU03072700,residences,753.1866581329749,1169.8915477029743,,,,,,,2026.0345063801183,183.43152829988173
BU03072700,utility,518.188830119539,87.22174593195149,,,,,,,151.05183665257124,89.95528943242876
BU03072300,residences,461.6886686128991,792.4763679649786,,,,,,,1426.4574623369615,136.99277458303837
BU03072300,utility,671.4756500188587,1722.3831955977776,,,,,,,3100.289752076,0.0
BU03070100,residences,2382.37200013725,,,13569.090851582501,,,3192.7272591958817,,13569.090851582501,377.15559419749803
BU03070100,utility,2382.371997417,,,33551.72007723142,,,7894.522371113272,,33551.72007723142,5348.874623156582
BU03071800,residences,6647.818080075207,13595.21705436131,,,,,,,24311.09106083942,2725.1648640605836
BU03071800,utility,5027.619605479457,6366.132157489848,,,,,,,11383.975553110038,5913.434870454961
BU03070501,residences,1241.08199964,,,9804.658767679999,,,2306.9785335717643,,9804.658767679999,0.0
BU03070501,utility,1241.081989875,,,111026.07623443058,,,26123.782643395425,,111026.07623443058,6673.35922135341
BU03072601,residences,12522.934669013528,,,,,,,,23483.560012878854,2589.487382971148
BU03072601,utility,6780.005679292317,,,,,,,,1947.5762948711867,527.1571237038131
BU03070306,residences,5293.134,,,,,36580.540286400006,25821.557849223536,,36580.54028640001,0.0
BU03070306,utility,5293.133987694,,,,,7379.246968746001,5208.880213232472,,7379.246968746,0.0
BU03071702,residences,4311.609237222611,8963.370086294153,,,,,,,15594.488596656476,1844.2538989435252
BU03071702,utility,2671.2694255939955,1440.7794822914177,,,,,,,2506.67092740555,1562.23847522445
BU03071202,residences,1158.947657317008,2315.85002504098,,,,,,,4053.444074337829,422.66335054217063
BU03071202,utility,675.6857943019808,112.91251066881274,,,,,,,197.63134155503312,120.79846596996688
BU03072602,residences,5513.47513286081,,,,,,,,10256.906752278039,1253.2828223619629
BU03072602,utility,2778.2999998875002,,,,,,,,0.0,0.0
BU03072504,residences,703.0752085895415,1413.0747538976511,,,,,,,2517.6399621505975,337.7423444494026
BU03072504,utility,599.5118389282455,949.2957275774095,,,,,,,1691.336465431481,84.41860403851902
BU03072701,residences,2995.6890425393967,5810.356334308083,,,,,,,10304.330126644121,712.769399945879
BU03072701,utility,1841.4870190905267,617.5964141644636,,,,,,,1095.27143783,0.0
BU03072804,residences,3946.6668321504894,,,,,,,,7653.3706228143365,660.6435940356638
BU03072804,utility,2002.4955554758164,,,,,,,,362.7283307618118,135.87851710218828
BU03071706,residences,2262.735,,,15183.01421904,,,3572.4739338917643,,15183.01421904,0.0
BU03071706,utility,2262.73500264,,,4021.2102654139735,,,946.167121273876,,4021.2102654139735,781.0887208260268
BU03072803,residences,7414.322280181812,,,,,,,,13884.668545619294,1516.3030172807066
BU03072803,utility,3788.9199457575537,,,,,,,,289.40979560363866,454.8663528303613
BU03072902,residences,7132.285059112304,,,,,,,,12969.89272167114,1974.5622543088596
BU03072902,utility,3675.4487676560143,,,,,,,,6.756628710053893,2.5342044899461076
BU03072000,residences,6559.025597326254,10125.318278205312,,,,,,,17818.89573376,0.0
