code,name,geo_coordinate,number_of_house_equivalents_residences,number_of_house_equivalents_utility,m2_of_utility,total_heat_demand_of_residences,total_heat_demand_of_utility,total_electricity_demand_of_residences,total_electricity_demand_of_utility,geothermal_available,teo_available,ht_sources_available,lt_sources_available,preference_W_MTHT,preference_H,preference_E,elegible_W_LT,force_heat_network
BU001,Buurt A,"[232537.5626, 582256.5507]",1650.0,52.8228,7884,53247.0833565,2592.996062292,13036.46254185,615.1788699839999,True,True,[],"['LTLP0012', 'LTLP0024', 'LTLP0036']",0.6893895048041389,0.14177679231337767,0.1688337028824834,False,False
BU002,Buurt B,"[232918.3791, 582805.6539]",2083.0,93.0429,13887,78255.64455154,6925.850581203001,25376.66685439,1269.576300249,True,True,[],"['LTLP0011', 'LTLP0012', 'LTLP0023', 'LTLP0024', 'LTLP0035', 'LTLP0036']",1.0,0.0,0.0,False,True
BU003,Buurt C,"[232728.3082, 581812.506]",2602.0,277.3934,41402,90788.67782266,22457.946574746,16954.632,2921.4784316060004,True,True,[],"['LTLP0010', 'LTLP0011', 'LTLP0012', 'LTLP0022', 'LTLP0023', 'LTLP0024', 'LTLP0034', 'LTLP0035', 'LTLP0036']",1.0,0.0,0.0,False,True
BU004,Buurt D,"[232260.5794, 581678.4657]",1372.0,128.48590000000002,19177,46705.27641752,13984.206624749,9246.198272668,1854.694292509,True,True,[],"['LTLP0009', 'LTLP0010', 'LTLP0011', 'LTLP0021', 'LTLP0022', 'LTLP0023', 'LTLP0033', 'LTLP0034', 'LTLP0035']",0.6178412729432515,0.22607241059743458,0.1560863164593139,False,False
BU005,Buurt E,"[233411.2264, 583900.4747]",2623.0,41.5936,6208,72997.68555962999,1340.0259217279997,15757.048687648,194.177927488,False,False,['HTLP0008'],"['LTLP0008', 'LTLP0009', 'LTLP0010', 'LTLP0020', 'LTLP0021', 'LTLP0022', 'LTLP0032', 'LTLP0033', 'LTLP0034']",0.525975246438416,0.2455348931063582,0.2284898604552258,False,False
BU006,Buurt F,"[233895.5427, 583637.9886]",4721.0,232.6039,34717,190455.11518974,18833.934415450996,33730.440522050005,2407.089863672,False,False,"['HTLP0007', 'HTLP0008']","['LTLP0007', 'LTLP0008', 'LTLP0009', 'LTLP0019', 'LTLP0020', 'LTLP0021', 'LTLP0031', 'LTLP0032', 'LTLP0033']",0.6616832484941909,0.21849477548457294,0.11982197602123618,False,False
BU007,Buurt G,"[234207.0777, 583308.052]",3411.0,359.4349,53647,142691.56895331,21895.10461336,25808.046122637,3774.5221276179996,False,False,"['HTLP0006', 'HTLP0007', 'HTLP0008']","['LTLP0006', 'LTLP0007', 'LTLP0008', 'LTLP0018', 'LTLP0019', 'LTLP0020', 'LTLP0030', 'LTLP0031', 'LTLP0032']",0.6350487087979293,0.08526197809321666,0.279689313108854,False,False
BU008,Buurt H,"[234538.9207, 582624.6119]",2855.0,151.6344,22632,101874.0019514,10914.258440088,20422.23030543,1699.15250892,False,False,"['HTLP0005', 'HTLP0006', 'HTLP0007']","['LTLP0005', 'LTLP0006', 'LTLP0007', 'LTLP0017', 'LTLP0018', 'LTLP0019', 'LTLP0029', 'LTLP0030', 'LTLP0031']",0.622852800367763,0.20220290241019404,0.17494429722204283,False,False
BU009,Buurt I,"[234778.6131, 583193.8062]",1665.0,217.3145,32435,52626.452917949995,17021.715283625,11477.671144695,2249.7813152100002,False,False,"['HTLP0004', 'HTLP0005', 'HTLP0006']","['LTLP0004', 'LTLP0005', 'LTLP0006', 'LTLP0016', 'LTLP0017', 'LTLP0018', 'LTLP0028', 'LTLP0029', 'LTLP0030']",0.5171413854618191,0.10796386157336069,0.3748947529648202,False,False
BU010,Buurt J,"[235010.197, 582608.2873]",1865.0,33.071200000000005,4936,79027.05936005,2638.803029016,15000.203168699998,329.523332224,False,False,"['HTLP0003', 'HTLP0004', 'HTLP0005']","['LTLP0003', 'LTLP0004', 'LTLP0005', 'LTLP0015', 'LTLP0016', 'LTLP0017', 'LTLP0027', 'LTLP0028', 'LTLP0029']",0.6756999934610606,0.26832668541162613,0.055973321127313146,False,False
BU011,Buurt K,"[235278.5349, 582894.0684]",749.0,29.7681,4443,36505.64172297,2908.4793213569997,6999.321255059001,229.576256793,False,False,"['HTLP0002', 'HTLP0003', 'HTLP0004']","['LTLP0002', 'LTLP0003', 'LTLP0004', 'LTLP0014', 'LTLP0015', 'LTLP0016', 'LTLP0026', 'LTLP0027', 'LTLP0028']",0.5700226231219349,0.31132267086801735,0.11865470601004788,False,False
BU012,Buurt L,"[235267.8538, 582275.445]",504.0,167.9489,25067,22342.08955608,21197.434332494,4015.233228888,2864.958090407,False,False,"['HTLP0001', 'HTLP0002', 'HTLP0003']","['LTLP0001', 'LTLP0002', 'LTLP0003', 'LTLP0013', 'LTLP0014', 'LTLP0015', 'LTLP0025', 'LTLP0026', 'LTLP0027']",1.0,0.0,0.0,False,True
BU013,Buurt M,"[234946.6606, 580732.1956]",371.0,21.2189,3167,15726.18009389,1420.626475723,2778.0480000000002,152.55360775100002,False,False,"['HTLP0001', 'HTLP0002']","['LTLP0001', 'LTLP0002', 'LTLP0013', 'LTLP0014', 'LTLP0025', 'LTLP0026']",1.0,0.0,0.0,False,True
BU014,Buurt N,"[235361.2638, 580668.6903]",1566.5,862.8997,128791,64093.11390352,36318.854131326,10848.9144891335,7129.324716488,False,False,['HTLP0001'],"['LTLP0001', 'LTLP0013', 'LTLP0025']",0.01630627006725644,0.012234384294191014,0.9714593456385525,True,False
