code,name,geo_coordinate,number_of_house_equivalents_residences,number_of_house_equivalents_utility,m2_of_utility,total_heat_demand_of_residences,total_heat_demand_of_utility,total_electricity_demand_of_residences,total_electricity_demand_of_utility,geothermal_available,ht_sources_available,lt_sources_available,preference_W,preference_H,preference_E
BU001,Buurt A,"[232537.5626, 582256.5507]",1377.0,52.8228,7884,58369.13743742999,3536.5390383960003,10310.975999999999,379.770332652,True,[],"['LTHP0012', 'LTHP0024', 'LTHP0036']",0.8167610748002905,0.1741321713870734,0.009106753812636167
BU002,Buurt B,"[232918.3791, 582805.6539]",2083.0,93.0429,13887,92338.43758991001,11743.278835734,16594.703999551002,1587.173295627,True,[],"['LTHP0011', 'LTHP0012', 'LTHP0023', 'LTHP0024', 'LTHP0035', 'LTHP0036']",0.7556227908623737,0.22470309055847024,0.019674118579156068
BU003,Buurt C,"[232728.3082, 581812.506]",2549.0,277.3934,41402,124236.15587697,27102.602039798003,23820.119998859,2139.3014143019996,True,[],"['LTHP0010', 'LTHP0011', 'LTHP0012', 'LTHP0022', 'LTHP0023', 'LTHP0024', 'LTHP0034', 'LTHP0035', 'LTHP0036']",0.7295231736149725,0.21688947262690134,0.05358735375812611
BU004,Buurt D,"[232260.5794, 581678.4657]",1370.0,128.48590000000002,19177,58052.048966899994,10252.091913986998,11018.916000599998,1280.2408715679999,True,[],"['LTHP0009', 'LTHP0010', 'LTHP0011', 'LTHP0021', 'LTHP0022', 'LTHP0023', 'LTHP0033', 'LTHP0034', 'LTHP0035']",0.6096663809284796,0.24057297115977763,0.14976064791174293
BU005,Buurt E,"[233411.2264, 583900.4747]",2358.0,41.5936,6208,74530.43602434,3257.9253424,16254.863999514,430.60405132799997,True,['HTHP0008'],"['LTHP0008', 'LTHP0009', 'LTHP0010', 'LTHP0020', 'LTHP0021', 'LTHP0022', 'LTHP0032', 'LTHP0033', 'LTHP0034']",0.5848072264959431,0.27299874056396223,0.14219403294009486
BU006,Buurt F,"[233895.5427, 583637.9886]",4819.0,232.6039,34717,171954.75145492,16742.237109603,34471.008000654,2606.4633108949997,True,"['HTHP0007', 'HTHP0008']","['LTHP0007', 'LTHP0008', 'LTHP0009', 'LTHP0019', 'LTHP0020', 'LTHP0021', 'LTHP0031', 'LTHP0032', 'LTHP0033']",0.6486353391858736,0.21417062265591358,0.1371940381582128
BU007,Buurt G,"[234207.0777, 583308.052]",3411.0,359.4349,53647,142691.56895331,21895.10461336,25808.046122637003,3774.5221276180005,True,"['HTHP0006', 'HTHP0007', 'HTHP0008']","['LTHP0006', 'LTHP0007', 'LTHP0008', 'LTHP0018', 'LTHP0019', 'LTHP0020', 'LTHP0030', 'LTHP0031', 'LTHP0032']",0.6350487087979293,0.08526197809321666,0.279689313108854
BU008,Buurt H,"[234538.9207, 582624.6119]",2757.0,151.6344,22632,111223.20537558,12277.835172695999,19698.11999985,1569.181029312,True,"['HTHP0005', 'HTHP0006', 'HTHP0007']","['LTHP0005', 'LTHP0006', 'LTHP0007', 'LTHP0017', 'LTHP0018', 'LTHP0019', 'LTHP0029', 'LTHP0030', 'LTHP0031']",0.6347613428126979,0.2144671950950311,0.1507714620922709
BU009,Buurt I,"[234778.6131, 583193.8062]",1930.0,217.3145,32435,53711.602413299996,7001.246902585,11594.015999680001,1014.523369535,False,"['HTHP0004', 'HTHP0005', 'HTHP0006']","['LTHP0004', 'LTHP0005', 'LTHP0006', 'LTHP0016', 'LTHP0017', 'LTHP0018', 'LTHP0028', 'LTHP0029', 'LTHP0030']",0.4153272911629839,0.10399980152218388,0.48067290731483214
BU010,Buurt J,"[235010.197, 582608.2873]",1867.0,33.071200000000005,4936,63555.94101422,3599.4182562319997,12582.107999323,477.3828559119999,False,"['HTHP0003', 'HTHP0004', 'HTHP0005']","['LTHP0003', 'LTHP0004', 'LTHP0005', 'LTHP0015', 'LTHP0016', 'LTHP0017', 'LTHP0027', 'LTHP0028', 'LTHP0029']",0.666877343331548,0.27474022495982864,0.05838243170862346
BU011,Buurt K,"[235278.5349, 582894.0684]",802.0,29.7681,4443,27983.28962866,2410.044360939,5225.832,313.514532429,False,"['HTHP0002', 'HTHP0003', 'HTHP0004']","['LTHP0002', 'LTHP0003', 'LTHP0004', 'LTHP0014', 'LTHP0015', 'LTHP0016', 'LTHP0026', 'LTHP0027', 'LTHP0028']",0.5220204649526775,0.2978503688313098,0.18012916621601266
BU012,Buurt L,"[235267.8538, 582275.445]",1454.5,167.9489,25067,59510.65060496001,7068.8535418619995,10073.249999645499,1387.603036456,False,"['HTHP0001', 'HTHP0002', 'HTHP0003']","['LTHP0001', 'LTHP0002', 'LTHP0003', 'LTHP0013', 'LTHP0014', 'LTHP0015', 'LTHP0025', 'LTHP0026', 'LTHP0027']",0.13892758647178616,0.15777872992423825,0.7032936836039756
BU013,Buurt M,"[234946.6606, 580732.1956]",371.0,21.2189,3167,13937.99526098,1579.474961523,4519.80000143,289.53324280899994,False,"['HTHP0001', 'HTHP0002']","['LTHP0001', 'LTHP0002', 'LTHP0013', 'LTHP0014', 'LTHP0025', 'LTHP0026']",0.0985979926798155,0.27626987120223856,0.6251321361179459
BU014,Buurt N,"[235361.2638, 580668.6903]",889.0,862.8997,128791,28688.88309329,42358.51799323301,7023.887999821,10049.404089816,False,['HTHP0001'],"['LTHP0001', 'LTHP0013', 'LTHP0025']",0.026878221772169763,0.013875188510325452,0.9592465897175048
